Debtor,Tuition fees up to date,Scholarship holder,Admission grade,Previous qualification (grade),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Mother's qualification,Father's qualification,Target,Mother_qual_code,Father_qual_code,Mother_qual_label,Father_qual_label
No,Yes,No,125.3,133.0,18,22,18,11.88888888888889,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,140.0,140.0,6,0,0,0.0,19,38,Dropout,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
Yes,No,No,119.6,122.0,6,6,4,13.0,19,38,Dropout,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,170.0,170.0,7,7,7,16.885714285714283,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,150.5,120.0,6,6,6,12.5,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,Yes,128.0,143.0,7,9,7,13.055555555555555,1,37,Graduate,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,No,No,108.7,115.0,0,0,0,0.0,9,1,Dropout,9,1,12th Year - Not Completed,Secondary Education - 12th Year
Yes,Yes,Yes,121.6,123.0,5,7,0,0.0,19,3,Dropout,19,3,Basic Education - 3rd Cycle,Higher Education - Degree
No,Yes,Yes,125.3,131.0,8,8,7,12.355714285714283,38,19,Graduate,38,19,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 3rd Cycle
No,Yes,No,117.6,127.0,6,0,0,0.0,19,38,Dropout,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,124.3,126.0,7,8,5,11.98,38,37,Enrolled,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
Yes,Yes,Yes,106.1,112.0,7,7,7,13.857142857142858,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,139.9,150.0,6,9,5,13.0,1,37,Graduate,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,110.8,116.0,6,6,6,12.833333333333334,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,118.0,118.0,5,11,4,11.0,1,19,Enrolled,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,Yes,117.8,130.0,8,8,7,12.357142857142858,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,127.5,144.0,8,8,7,13.857142857142858,1,37,Graduate,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,129.7,105.0,6,6,6,12.333333333333334,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,130.6,143.0,7,8,7,12.847142857142858,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,126.3,137.0,7,9,6,12.339999999999998,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,140.0,140.0,6,10,5,12.666666666666666,3,1,Enrolled,3,1,Higher Education - Degree,Secondary Education - 12th Year
No,Yes,No,105.0,133.1,6,6,6,13.833333333333334,3,19,Graduate,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
No,Yes,No,114.6,116.0,5,15,2,10.75,1,38,Dropout,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,114.6,117.0,6,11,4,13.25,38,38,Dropout,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,131.0,137.0,8,8,8,13.73125,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,109.0,116.0,6,6,6,13.333333333333334,38,37,Dropout,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,132.0,133.1,6,8,5,12.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,130.0,130.0,9,10,9,10.88888888888889,37,38,Graduate,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,109.5,106.0,7,8,7,13.025,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,115.9,125.0,6,6,6,13.0,1,38,Graduate,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,131.6,134.0,6,10,5,11.8,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,120.0,133.1,8,8,7,12.042857142857144,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,109.7,117.0,6,9,5,12.2,1,38,Enrolled,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,136.4,136.0,7,8,7,12.8375,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
Yes,Yes,Yes,120.0,120.0,7,13,7,11.0,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,132.6,135.0,6,7,6,13.5,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,112.9,122.0,6,8,6,12.125,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,134.3,147.0,8,12,7,12.62857142857143,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,123.2,120.0,5,9,3,10.666666666666666,38,1,Enrolled,38,1,Basic Education - 2nd Cycle (6th/7th/8th),Secondary Education - 12th Year
No,Yes,No,117.2,121.0,6,11,5,11.2,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,Yes,129.8,135.0,6,6,6,12.666666666666666,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
Yes,No,No,158.0,130.0,6,7,4,13.5,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,116.5,128.0,5,9,3,11.666666666666666,37,37,Enrolled,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,121.0,129.0,5,8,2,10.5,37,38,Enrolled,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,133.8,143.0,8,8,8,14.26875,37,38,Enrolled,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
Yes,No,No,115.0,108.0,6,0,0,0.0,38,38,Dropout,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,131.8,130.0,5,8,2,10.5,19,37,Enrolled,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,121.0,135.0,6,11,5,11.2,37,1,Enrolled,37,1,Basic Education - 1st Cycle (4th/5th),Secondary Education - 12th Year
No,Yes,No,152.4,140.0,5,5,5,12.0,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,110.2,120.0,7,9,7,12.228571428571428,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,113.5,117.0,5,6,4,11.5,1,38,Graduate,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,144.4,151.0,6,8,6,15.375,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,No,No,143.3,140.0,12,19,9,13.666666666666666,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,100.0,133.1,8,11,7,12.614285714285714,1,5,Graduate,1,5,Secondary Education - 12th Year,Doctorate
No,Yes,Yes,126.3,130.0,6,7,5,12.2,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,115.9,125.0,6,13,4,11.75,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
Yes,Yes,Yes,114.9,125.0,6,9,5,11.4,19,38,Enrolled,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
Yes,Yes,No,121.0,135.0,6,10,5,10.6,37,19,Enrolled,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,112.3,121.0,16,16,13,10.923076923076923,1,38,Graduate,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,127.0,141.0,6,6,5,12.4,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,120.0,130.0,6,6,0,0.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,180.0,180.0,6,6,6,15.833333333333334,1,3,Graduate,1,3,Secondary Education - 12th Year,Higher Education - Degree
No,Yes,No,117.4,117.0,7,12,5,11.8,19,19,Enrolled,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,115.8,127.0,6,7,6,12.571428571428571,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,136.5,126.0,5,7,3,12.0,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,129.0,143.0,7,8,7,13.3625,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,Yes,137.6,144.0,5,6,5,15.4,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
Yes,No,No,129.5,126.0,6,9,5,12.2,37,38,Dropout,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,129.1,140.0,11,11,11,12.818181818181818,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,130.2,148.0,7,0,0,0.0,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,134.3,100.0,17,21,17,13.394736842105264,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,138.4,151.0,6,8,6,14.25,37,1,Graduate,37,1,Basic Education - 1st Cycle (4th/5th),Secondary Education - 12th Year
No,Yes,No,120.0,120.0,11,19,9,13.444444444444445,37,38,Dropout,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,Yes,123.5,135.0,7,8,7,12.285714285714286,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,116.1,121.0,6,7,6,11.666666666666666,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,110.8,116.0,6,8,6,12.166666666666666,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,142.8,147.0,6,11,2,10.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,155.5,160.0,6,6,6,14.0,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,126.7,133.0,6,9,5,11.833333333333334,37,19,Enrolled,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
Yes,No,No,163.5,100.0,6,7,1,15.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,161.9,151.0,0,0,0,0.0,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,123.3,124.0,6,7,6,10.833333333333334,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
Yes,Yes,Yes,137.5,140.0,6,7,6,13.142857142857142,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
Yes,No,Yes,166.6,170.0,5,8,5,14.4,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,No,No,103.5,133.1,6,0,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,110.0,133.1,12,17,7,12.0,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,128.2,100.0,10,13,9,12.2,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,No,No,137.7,120.0,3,3,3,12.333333333333334,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,128.8,133.0,7,8,7,11.8375,38,19,Graduate,38,19,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 3rd Cycle
No,Yes,No,170.0,120.0,5,5,5,11.8,37,1,Graduate,37,1,Basic Education - 1st Cycle (4th/5th),Secondary Education - 12th Year
Yes,No,No,116.4,133.1,5,5,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,100.9,133.1,6,0,0,0.0,37,38,Dropout,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,136.0,133.1,19,19,19,12.68421052631579,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,130.0,140.0,6,8,6,12.571428571428571,19,19,Enrolled,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
Yes,No,No,100.0,100.0,7,18,3,11.25,38,37,Dropout,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,157.0,133.1,5,13,4,14.0,2,1,Graduate,2,1,Bachelor's Degree,Secondary Education - 12th Year
Yes,Yes,No,152.1,143.0,5,15,4,13.333333333333334,3,1,Dropout,3,1,Higher Education - Degree,Secondary Education - 12th Year
No,Yes,No,162.9,165.0,6,7,6,13.666666666666666,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,137.2,154.0,6,12,3,10.0,3,1,Enrolled,3,1,Higher Education - Degree,Secondary Education - 12th Year
No,Yes,No,140.0,140.0,6,12,5,12.6,1,38,Graduate,1,38,Secondary Education - 12th Year,Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,146.5,140.0,5,10,3,17.333333333333332,37,38,Dropout,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,No,No,130.0,130.0,6,10,5,13.2,2,2,Enrolled,2,2,Bachelor's Degree,Bachelor's Degree
No,Yes,No,128.0,133.1,5,9,3,14.0,37,19,Dropout,37,19,Basic Education - 1st Cycle (4th/5th),Basic Education - 3rd Cycle
No,Yes,No,190.0,190.0,4,4,4,13.875,5,5,Dropout,5,5,Doctorate,Doctorate
No,Yes,No,133.2,120.0,5,5,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,124.3,100.0,9,9,9,13.11111111111111,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,138.1,120.0,5,8,5,13.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,144.3,133.1,10,10,10,12.5,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,140.0,150.0,18,18,18,14.11111111111111,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,148.3,120.0,11,11,11,14.727272727272728,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
Yes,No,No,96.0,133.1,6,6,0,0.0,37,11,Dropout,37,11,Basic Education - 1st Cycle (4th/5th),7th Year (Old Program)
No,Yes,No,121.7,133.1,5,5,0,0.0,38,38,Dropout,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
Yes,No,No,160.0,100.0,5,5,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,110.3,133.1,5,7,4,13.5,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,129.0,143.0,8,8,7,13.105714285714283,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,150.0,120.0,5,8,5,13.5,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,100.0,161.0,13,18,13,11.846153846153848,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,107.5,133.1,5,5,0,0.0,34,36,Dropout,34,36,Unknown,Can Read (No 4th Year)
Yes,No,No,170.0,140.0,6,11,3,14.333333333333334,2,1,Dropout,2,1,Bachelor's Degree,Secondary Education - 12th Year
No,Yes,No,123.0,123.0,5,10,5,15.8,37,37,Enrolled,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,138.5,142.0,6,16,5,13.8,38,1,Enrolled,38,1,Basic Education - 2nd Cycle (6th/7th/8th),Secondary Education - 12th Year
Yes,Yes,No,140.0,133.1,10,18,6,12.666666666666666,38,38,Dropout,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,113.6,115.0,6,10,6,13.0,19,1,Enrolled,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,170.0,156.0,0,0,0,0.0,19,38,Graduate,19,38,Basic Education - 3rd Cycle,Basic Education - 2nd Cycle (6th/7th/8th)
No,No,No,115.5,140.0,6,6,1,11.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,No,No,130.0,130.0,5,9,0,0.0,37,26,Dropout,37,26,Basic Education - 1st Cycle (4th/5th),7th Year of Schooling
No,Yes,No,140.0,140.0,7,7,7,15.2,37,38,Graduate,37,38,Basic Education - 1st Cycle (4th/5th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,126.6,140.0,6,7,6,14.428571428571429,12,5,Graduate,12,5,11th Year - Other,Doctorate
No,Yes,No,143.2,133.1,5,5,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,131.4,131.0,0,0,0,0.0,19,1,Graduate,19,1,Basic Education - 3rd Cycle,Secondary Education - 12th Year
No,Yes,No,133.3,141.0,6,13,4,13.75,3,2,Enrolled,3,2,Higher Education - Degree,Bachelor's Degree
Yes,No,Yes,118.3,120.0,6,11,5,12.166666666666666,19,37,Dropout,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,140.0,140.0,6,12,5,12.142857142857142,2,1,Graduate,2,1,Bachelor's Degree,Secondary Education - 12th Year
No,Yes,No,124.7,132.0,6,9,6,12.0,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,140.0,130.0,5,10,3,11.666666666666666,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,150.0,140.0,6,9,0,0.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,115.6,110.0,6,10,6,11.875,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,116.9,140.0,11,15,7,11.285714285714286,3,37,Enrolled,3,37,Higher Education - Degree,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,123.4,130.0,6,17,2,10.0,37,37,Dropout,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
Yes,Yes,No,146.5,137.0,12,13,11,12.0,1,3,Enrolled,1,3,Secondary Education - 12th Year,Higher Education - Degree
No,Yes,No,117.1,158.0,7,7,6,13.833333333333334,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,113.9,124.0,6,0,0,0.0,19,19,Dropout,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,No,128.7,136.0,6,7,6,14.428571428571429,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,132.9,142.0,7,8,5,14.2,3,3,Dropout,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,123.0,150.0,5,8,4,11.5,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,129.8,120.0,6,7,5,13.0,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,No,No,156.1,149.0,6,6,0,0.0,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
Yes,No,No,120.0,130.0,6,12,3,11.333333333333334,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,117.2,110.0,18,45,18,12.5,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,107.0,133.1,5,5,0,0.0,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,128.4,134.0,7,7,7,13.471428571428572,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,123.4,130.0,5,5,4,11.75,38,37,Graduate,38,37,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 1st Cycle (4th/5th)
Yes,Yes,Yes,126.7,141.0,6,9,6,13.333333333333334,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,123.0,123.0,8,8,8,13.105,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
Yes,No,No,137.2,133.1,5,5,0,0.0,19,37,Dropout,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,Yes,125.9,122.0,6,6,6,15.5,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
Yes,No,No,138.0,132.0,0,0,0,0.0,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
Yes,No,No,128.2,133.1,6,6,4,11.25,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,No,No,126.5,130.0,15,24,12,11.0,37,2,Dropout,37,2,Basic Education - 1st Cycle (4th/5th),Bachelor's Degree
No,Yes,No,112.4,111.0,6,10,6,12.333333333333334,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,109.0,133.1,9,18,8,11.375,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,100.0,125.0,18,19,18,12.22222222222222,3,3,Graduate,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,No,144.7,137.0,0,0,0,0.0,3,19,Enrolled,3,19,Higher Education - Degree,Basic Education - 3rd Cycle
No,Yes,No,120.0,100.0,9,11,9,12.0,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
Yes,Yes,No,100.0,133.1,5,10,1,11.0,1,3,Enrolled,1,3,Secondary Education - 12th Year,Higher Education - Degree
No,Yes,No,154.0,150.0,16,17,16,14.125,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,111.3,120.0,5,8,5,10.2,38,38,Enrolled,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
No,Yes,No,150.0,150.0,5,7,4,12.0,1,1,Enrolled,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,100.0,133.1,9,11,9,12.333333333333334,1,37,Graduate,1,37,Secondary Education - 12th Year,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,162.5,133.1,9,9,9,14.333333333333334,37,37,Graduate,37,37,Basic Education - 1st Cycle (4th/5th),Basic Education - 1st Cycle (4th/5th)
No,Yes,No,134.1,132.0,6,6,6,15.166666666666666,19,19,Graduate,19,19,Basic Education - 3rd Cycle,Basic Education - 3rd Cycle
No,Yes,Yes,133.0,134.0,6,8,6,15.142857142857142,1,1,Graduate,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,119.0,126.0,6,0,0,0.0,1,19,Dropout,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,131.1,136.0,7,9,6,13.411428571428573,1,19,Enrolled,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,No,129.4,129.0,6,7,6,12.333333333333334,38,1,Graduate,38,1,Basic Education - 2nd Cycle (6th/7th/8th),Secondary Education - 12th Year
No,Yes,No,123.9,126.0,6,13,4,11.8,3,1,Enrolled,3,1,Higher Education - Degree,Secondary Education - 12th Year
Yes,Yes,No,140.0,140.0,6,9,6,12.0,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,No,162.0,162.0,6,7,6,15.0,2,1,Graduate,2,1,Bachelor's Degree,Secondary Education - 12th Year
No,Yes,No,131.6,148.0,12,12,8,13.875,3,2,Dropout,3,2,Higher Education - Degree,Bachelor's Degree
No,Yes,No,110.6,119.0,7,9,6,11.833333333333334,3,3,Enrolled,3,3,Higher Education - Degree,Higher Education - Degree
No,Yes,Yes,117.4,123.0,6,6,6,12.5,1,19,Graduate,1,19,Secondary Education - 12th Year,Basic Education - 3rd Cycle
No,Yes,Yes,137.8,150.0,6,6,6,15.0,38,38,Graduate,38,38,Basic Education - 2nd Cycle (6th/7th/8th),Basic Education - 2nd Cycle (6th/7th/8th)
Yes,Yes,No,106.7,113.0,6,10,2,11.666666666666666,1,1,Dropout,1,1,Secondary Education - 12th Year,Secondary Education - 12th Year
No,Yes,Yes,156.9,152.0,7,10,7,14.668,19,37,Graduate,19,37,Basic Education - 3rd Cycle,Basic Education - 1st Cycle (4th/5th)
No,Yes,No,129.0,154.0,8,9,6,13.345,3,3,Enrolled,3,3,Higher Education - Degree,Higher Education - Degree
